,CreditGrade,LoanStatus,ProsperScore,EmploymentStatus,StatedMonthlyIncome,MonthlyLoanPayment,LoanOriginalAmount,DebtToIncomeRatio,EstimatedLoss,diff_income_loan
43,,0,5.0,Employed,2916.666667,596.32,15000,0.47,0.119,-12083.333333
44,,0,5.0,Employed,11429.583333,326.62,7500,0.27,0.147,3929.5833330000005
45,,0,6.0,Full-time,3033.333333,307.8,7500,0.44,0.098,-4466.6666669999995
46,,0,6.0,Employed,6250.0,171.08,4000,0.19,0.147,2250.0
47,,0,4.0,Employed,2666.666667,326.62,7500,0.34,0.147,-4833.3333330000005
48,A,0,,Full-time,7691.0,401.44,12000,0.28,,-4309.0
49,D,0,,Full-time,1333.333333,57.11,1500,0.04,,-166.66666699999996
50,C,0,,Not available,5269.333333,419.06,10000,0.11,,-4730.666667
51,,0,7.0,Employed,1916.6666670000002,293.4,10000,0.33,0.0849,-8083.333333
52,B,0,,Full-time,7666.666667,720.54,20000,0.26,,-12333.333332999999
53,D,0,,Full-time,2666.666667,37.68,1000,0.23,,1666.666667
54,E,0,,Full-time,2083.333333,95.62,2500,0.22,,-416.66666699999996
55,,0,7.0,Full-time,5416.666667,205.2,5000,0.07,0.1,416.6666670000004
56,,0,4.0,Other,3750.0,173.71,4000,,0.165,-250.0
57,,0,5.0,Full-time,2500.0,37.68,1000,0.32,0.19,1500.0
58,E,0,,Full-time,4583.333333,96.1,2500,0.56,,2083.3333329999996
59,,0,5.0,Full-time,4166.666667,135.71,3000,0.13,0.18,1166.6666670000004
60,D,0,,Full-time,4419.75,126.66,2800,0.03,,1619.75
61,HR,0,,Full-time,5416.666667,232.3,6001,0.15,,-584.3333329999996
62,,0,5.0,Employed,5500.0,135.17,4000,0.43,0.1475,1500.0
63,D,0,,Full-time,2000.0,108.44,3000,0.15,,-1000.0
64,,0,6.0,Part-time,2500.0,204.8,5000,0.2,0.1,-2500.0
65,B,0,,Full-time,11666.666667,733.12,20000,0.13,,-8333.333333
66,B,0,,Full-time,5833.333333,683.55,20000,0.49,,-14166.666667000001
67,B,0,,Full-time,31666.666667,859.91,25000,0.12,,6666.666667000001
68,C,0,,Full-time,3500.0,305.65,7200,0.26,,-3700.0
69,,0,3.0,Employed,6500.0,566.98,15000,0.34,0.0874,-8500.0
70,HR,0,,Full-time,1866.75,95.91,2550,0.3,,-683.25
71,,0,6.0,Employed,2715.666667,347.09,10000,0.5,0.0499,-7284.3333330000005
72,D,0,,Full-time,2289.583333,156.93,4000,0.41,,-1710.416667
73,,0,9.0,Employed,3791.666667,216.23,10000,0.13,0.0174,-6208.3333330000005
74,,0,8.0,Employed,4250.0,167.36,5000,0.21,0.038,-750.0
75,D,0,,Full-time,3333.333333,135.71,3000,0.05,,333.33333300000004
76,,0,2.0,Self-employed,5750.0,137.21,3151,,0.203,2599.0
77,,0,3.0,Employed,5416.666667,582.52,15000,,0.1025,-9583.333332999999
78,HR,0,,Full-time,5750.0,188.38,5000,0.13,,750.0
79,D,0,,Full-time,3333.333333,120.86,3000,0.6,,333.33333300000004
80,B,0,,Full-time,7916.666667,903.81,25000,0.24,,-17083.333333
81,E,0,,,5416.666667,75.29,1900,0.14,,3516.6666670000004
82,,0,5.0,Employed,12000.0,259.63,6000,,0.147,6000.0
83,AA,0,,Not available,3333.333333,823.18,24000,0.56,,-20666.666667
84,,0,4.0,Full-time,4130.416667,86.3,2200,0.37,0.1,1930.4166670000004
85,,0,4.0,Self-employed,14.583332999999998,173.71,4000,,0.165,-3985.416667
86,C,0,,Full-time,4166.666667,226.18,5000,0.24,,-833.3333329999996
87,B,0,,Full-time,6599.666667,692.33,20000,0.19,,-13400.333332999999
88,B,0,,Full-time,5000.0,166.57,5000,0.24,,0.0
89,C,0,,Full-time,5583.333333,584.25,15000,0.42,,-9416.666667000001
90,,0,3.0,Full-time,2033.3333329999998,77.28,2000,0.45,0.099,33.33333299999981
91,,0,6.0,Employed,3583.333333,350.06,11500,0.26,0.1025,-7916.6666669999995
92,,0,6.0,Employed,11666.666667,408.2,10000,0.13,0.112,1666.6666669999995
93,,0,5.0,Employed,6072.0,173.71,4000,0.07,0.165,2072.0
94,,0,9.0,Full-time,13750.0,152.88,4500,0.29,0.021,9250.0
95,HR,0,,Not available,2916.666667,83.81,2000,0.03,,916.666667
96,AA,0,,Full-time,6409.0,818.47,25000,0.14,,-18591.0
97,C,0,,Full-time,12083.333333,142.51,4000,0.09,,8083.3333330000005
98,B,0,,Part-time,2500.0,474.76,14000,0.3,,-11500.0
99,AA,0,,Self-employed,5000.0,225.95,6250,0.09,,-1250.0
100,A,0,,Full-time,13333.333333,241.57,7400,0.4,,5933.3333330000005
101,E,0,,Not available,3333.333333,41.88,1000,0.38,,2333.333333
102,B,0,,Full-time,5108.333333,184.57,5000,0.27,,108.33333299999958
103,D,0,,Full-time,5383.333333,267.33,7000,0.12,,-1616.6666670000004
104,,0,5.0,Other,2916.666667,173.71,4000,0.36,0.165,-1083.333333
105,E,0,,Not available,2406.666667,109.97,3000,0.35,,-593.333333
106,D,0,,Full-time,5500.0,70.12,2000,0.14,,3500.0
107,,0,8.0,Employed,34813.25,724.0,25000,0.05,0.0799,9813.25
108,D,0,,Full-time,1525.0,137.29,4000,0.29,,-2475.0
109,HR,0,,Not available,3833.333333,45.21,1200,0.12,,2633.333333
110,C,0,,Full-time,6666.666667,215.89,6500,0.33,,166.66666700000042
111,,0,4.0,Employed,2666.666667,194.75,5000,0.26,0.1025,-2333.333333
112,C,0,,,2666.666667,300.41,7866,0.18,,-5199.3333330000005
113,AA,0,,Full-time,3845.25,501.77,15001,0.27,,-11155.75
114,D,0,,Full-time,1791.6666670000002,244.37,7000,0.44,,-5208.333333
115,C,0,,Full-time,2916.666667,154.37,3500,0.25,,-583.333333
116,E,0,,Full-time,2111.583333,128.99,3000,0.26,,-888.416667
117,HR,0,,Not available,3166.666667,117.7,3000,0.13,,166.66666699999996
118,,0,8.0,Employed,6833.333333,166.3,4000,0.13,0.1375,2833.3333329999996
119,,0,6.0,Full-time,1750.0,40.42,1000,0.14,0.1,750.0
120,,0,8.0,Employed,3333.333333,384.58,15000,0.2,0.0595,-11666.666667
121,D,0,,Full-time,4666.666667,218.46,6001,0.19,,-1334.3333329999996
122,C,0,,Full-time,1072.666667,34.74,1000,0.26,,72.66666699999996
123,,0,4.0,Employed,6500.0,98.07,2500,0.08,0.1,4000.0
124,,0,2.0,Other,2750.0,173.71,4000,1.19,0.165,-1250.0
125,B,0,,Full-time,3333.333333,269.36,8000,0.25,,-4666.6666669999995
126,,0,6.0,Other,3339.333333,74.83,2000,0.18,0.089,1339.333333
127,,0,1.0,Full-time,3577.0,81.42,1800,0.44,0.345,1777.0
128,,0,8.0,Employed,12500.0,168.41,7000,0.13,0.033,5500.0
129,,0,7.0,Employed,2083.333333,285.74,7000,0.48,0.112,-4916.6666669999995
130,,0,5.0,Employed,3750.0,259.63,6000,,0.147,-2250.0
131,B,0,,,5166.666667,70.07,2000,0.52,,3166.6666670000004
132,HR,0,,Full-time,1916.6666670000002,90.47,2000,0.24,,-83.33333299999981
133,AA,0,,Self-employed,2861.583333,322.44,10000,0.23,,-7138.4166669999995
134,B,0,,Retired,2183.333333,170.89,5000,0.74,,-2816.666667
135,,0,8.0,Employed,4416.666667,350.6,13000,0.17,0.0565,-8583.333332999999
136,,0,3.0,Self-employed,10000.0,173.71,4000,,0.165,6000.0
137,D,0,,,2000.0,54.61,1500,0.23,,500.0
138,B,0,,Full-time,15000.0,354.04,10000,0.07,,5000.0
139,E,0,,Full-time,2040.0,45.24,1000,0.23,,1040.0
140,HR,0,,Not available,2500.0,95.48,2500,0.2,,0.0
141,,0,8.0,Employed,4166.666667,257.97,9500,0.16,0.0649,-5333.333333
142,E,0,,Part-time,416.666667,38.87,1000,0.14,,-583.333333
143,A,0,,Full-time,4000.0,253.95,7900,0.08,,-3900.0
144,HR,0,,Retired,3625.0,39.29,1200,0.35,,2425.0
145,,0,8.0,Employed,8166.666667,410.12,15000,0.07,0.0595,-6833.333333
146,,0,8.0,Full-time,5200.0,161.91,4000,0.16,0.1,1200.0
147,,0,5.0,Employed,5220.0,162.85,3750,0.09,0.1675,1470.0
148,C,0,,Full-time,2160.0,132.76,3500,0.72,,-1340.0
149,D,0,,Full-time,2033.3333329999998,90.47,2000,0.28,,33.33333299999981
150,,0,6.0,Other,4333.333333,446.71,15000,0.4,0.0925,-10666.666667000001
151,,0,6.0,Employed,5416.666667,173.71,4000,0.13,0.1625,1416.6666670000004
152,HR,0,,Not available,2500.0,34.62,1000,0.02,,1500.0
153,,0,1.0,Employed,19000.0,326.62,7500,,0.147,11500.0
154,D,0,,Full-time,5500.0,36.66,1000,0.21,,4500.0
155,,0,5.0,Employed,2500.0,108.57,2500,0.06,0.165,0.0
156,D,0,,,4166.666667,161.16,4000,0.36,,166.66666700000042
157,D,0,,Full-time,5700.0,185.31,5000,0.29,,700.0
158,,0,,Not available,1600.0,35.28,1000,,,600.0
159,,0,5.0,Self-employed,2666.666667,169.36,3900,,0.165,-1233.333333
160,B,0,,Full-time,3333.333333,519.21,15001,0.41,,-11667.666667
161,,0,6.0,Employed,2666.666667,161.14,4000,0.23,0.108,-1333.333333
162,,0,7.0,Employed,4500.0,341.3,9000,0.17,0.089,-4500.0
163,E,0,,,5833.333333,103.76,2550,0.21,,3283.3333329999996
164,,0,5.0,Full-time,7700.0,180.94,4000,0.13,0.183,3700.0
165,,0,5.0,Employed,5891.666667,173.71,4000,0.08,0.1625,1891.6666670000004
166,,0,5.0,Employed,11583.333333,547.11,15000,0.25,0.0699,-3416.6666669999995
167,,0,5.0,Employed,2083.333333,171.08,4000,0.22,0.147,-1916.666667
168,,0,6.0,Employed,5000.0,175.72,6000,0.34,0.089,-1000.0
169,HR,0,,Full-time,1000.0,44.6,1200,0.08,,-200.0
170,HR,0,,Full-time,2000.0,125.76,2780,0.06,,-780.0
171,,0,5.0,Employed,6166.666667,86.38,2000,0.55,0.1575,4166.666667
172,B,0,,Self-employed,4000.0,534.79,15000,0.18,,-11000.0
173,E,0,,Full-time,10416.666667,40.35,1030,0.27,,9386.666667
174,C,0,,Full-time,4316.666667,120.0,3100,0.43,,1216.6666670000004
175,HR,0,,Full-time,2896.333333,101.43,2551,0.12,,345.33333300000004
176,,0,5.0,Self-employed,7000.0,197.53,5000,,0.119,2000.0
177,,0,7.0,Employed,6069.0,348.18,9500,0.32,0.061,-3431.0
178,,0,8.0,Full-time,2561.0,169.43,5000,0.28,0.0495,-2439.0
179,,0,5.0,Employed,7666.666667,304.84,7000,0.22,0.147,666.6666670000004
180,C,0,,Full-time,3750.0,208.47,6001,0.2,,-2251.0
181,D,0,,Part-time,833.333333,36.23,1000,0.26,,-166.66666699999996
182,,0,4.0,Employed,3416.666667,150.0,5000,0.37,0.099,-1583.333333
183,,0,3.0,Employed,1105.0,400.62,13000,0.4,0.1075,-11895.0
184,C,0,,Full-time,1166.666667,169.68,5000,0.18,,-3833.333333
185,C,0,,Full-time,3625.0,203.83,5000,0.28,,-1375.0
186,,0,2.0,Employed,2500.0,113.93,3500,0.17,0.1425,-1000.0
187,,0,7.0,Employed,7500.0,168.36,4500,0.15,0.089,3000.0
188,,0,4.0,Full-time,2416.666667,153.8,3400,0.21,0.18,-983.333333
189,,0,4.0,Self-employed,2916.666667,249.59,9000,,0.065,-6083.3333330000005
190,,0,8.0,Employed,3166.666667,428.94,13000,0.27,0.038,-9833.333333
191,E,0,,Full-time,6378.333333,64.46,1600,0.42,,4778.333333
192,,0,9.0,Full-time,6014.666667,335.11,15000,0.32,0.0349,-8985.333332999999
193,HR,0,,Full-time,5250.0,134.02,3000,0.15,,2250.0
194,,0,4.0,Employed,2100.0,152.42,3500,,0.147,-1400.0
195,E,0,,Not available,5000.0,104.1,2550,0.29,,2450.0
196,,0,4.0,Employed,2833.333333,87.1,2000,0.03,0.147,833.333333
197,A,0,,Full-time,3483.333333,290.06,8500,0.44,,-5016.6666669999995
198,B,0,,Full-time,2583.333333,310.01,9000,0.24,,-6416.6666669999995
199,D,0,,Full-time,5400.0,355.43,9900,0.43,,-4500.0
200,,0,3.0,Employed,3225.0,136.98,4000,0.22,0.149,-775.0
201,E,0,,Full-time,6500.0,226.05,6000,0.17,,500.0
202,,0,5.0,Employed,2500.0,772.66,8430,0.64,0.0975,-5930.0
203,HR,0,,Not available,3166.666667,37.68,1000,0.02,,2166.666667
204,,0,3.0,Employed,5000.0,285.3,10000,0.29,0.0925,-5000.0
205,B,0,,Retired,3222.5,51.96,1500,0.56,,1722.5
206,HR,0,,Full-time,2816.666667,41.91,1000,0.26,,1816.666667
207,B,0,,Self-employed,5000.0,223.74,6500,,,-1500.0
208,,0,8.0,Employed,3333.333333,141.0,3500,0.05,0.112,-166.66666699999996
209,,0,4.0,Employed,6250.0,213.2,7000,0.28,0.105,-750.0
210,HR,0,,Full-time,1300.833333,45.24,1000,0.08,,300.83333300000004
211,,0,2.0,Full-time,3333.333333,214.98,5000,0.28,0.13,-1666.666667
212,,0,5.0,Other,216.666667,152.42,3500,7.42,0.147,-3283.333333
213,D,0,,Full-time,8000.0,112.62,2900,0.19,,5100.0
214,D,0,,Full-time,1525.333333,97.54,2200,0.08,,-674.666667
215,AA,0,,Full-time,8333.333333,398.29,12000,0.16,,-3666.6666669999995
216,,0,4.0,Employed,4000.0,108.57,2500,0.19,0.165,1500.0
217,A,0,,Retired,4666.666667,527.36,15000,0.23,,-10333.333332999999
218,D,0,,Full-time,3333.333333,194.72,5000,0.23,,-1666.666667
219,,0,2.0,Retired,2470.5,197.97,6500,0.38,0.105,-4029.5
220,D,0,,Full-time,2916.666667,184.17,5000,0.1,,-2083.333333
221,AA,0,,Retired,1333.333333,854.44,25000,0.5,,-23666.666667
222,,0,9.0,Full-time,5241.666667,127.57,4000,0.53,0.021,1241.6666670000004
223,D,0,,Full-time,4250.0,176.28,5000,0.22,,-750.0
224,C,0,,Full-time,2500.0,124.33,3500,0.16,,-1000.0
225,B,0,,Full-time,3166.666667,527.36,15000,0.18,,-11833.333333
226,D,0,,Full-time,4163.166667,78.36,2000,0.18,,2163.1666670000004
227,,0,5.0,Employed,6500.0,210.0,7000,0.13,0.099,-500.0
228,,0,7.0,Employed,6250.0,316.34,7500,,0.108,-1250.0
229,,0,5.0,Employed,2500.0,392.28,10000,0.31,0.1,-7500.0
230,,0,6.0,Full-time,2200.0,41.91,1000,0.21,0.147,1200.0
231,,0,6.0,Employed,1750.0,142.02,4500,0.2,0.119,-2750.0
232,,0,3.0,Employed,3000.0,173.71,4000,0.21,0.1675,-1000.0
233,,0,5.0,Other,1671.0,152.42,3500,0.09,0.147,-1829.0
234,,0,7.0,Employed,4166.666667,240.87,7590,,0.112,-3423.3333329999996
235,AA,0,,,4100.0,62.67,2000,0.23,,2100.0
236,E,0,,Not available,6000.0,115.35,3000,0.14,,3000.0
237,,0,1.0,Employed,1250.0,204.23,4750,0.16,0.13,-3500.0
238,,0,7.0,Employed,4166.666667,374.14,10000,0.16,0.089,-5833.333333
239,B,0,,Full-time,4208.333333,196.43,6000,0.07,,-1791.6666670000004
240,E,0,,Full-time,6666.666667,125.72,3000,0.23,,3666.6666670000004
241,HR,0,,Full-time,4333.333333,74.33,2000,0.1,,2333.3333329999996
242,E,0,,Not available,3983.333333,103.38,2600,0.53,,1383.333333
243,,0,5.0,Employed,6666.666667,173.71,4000,0.11,0.165,2666.6666670000004
244,,0,3.0,Employed,4166.666667,174.2,4000,0.26,0.165,166.66666700000042
245,,0,8.0,Employed,2500.0,238.9,7000,0.21,0.038,-4500.0
246,D,0,,Full-time,6000.0,189.68,4900,0.1,,1100.0
247,D,0,,Full-time,4492.833333,185.82,5000,0.2,,-507.1666670000004
248,,0,2.0,Employed,6458.333333,172.56,4000,0.22,0.17,2458.3333329999996
249,,0,3.0,Other,8400.0,151.03,3500,0.49,0.165,4900.0
250,,0,6.0,Full-time,5833.333333,326.62,7500,0.3,0.142,-1666.6666670000004
251,E,0,,Full-time,3708.333333,146.67,3500,0.13,,208.33333300000004
252,E,0,,Full-time,3166.666667,125.72,3000,0.16,,166.66666699999996
253,,0,8.0,Employed,11250.0,892.19,10000,0.08,0.0599,1250.0
254,AA,0,,Full-time,3000.0,197.63,6000,0.43,,-3000.0
255,A,0,,Full-time,7609.166667,849.23,25000,0.2,,-17390.833333
256,,0,6.0,Full-time,2708.333333,88.67,2100,0.05,0.147,608.333333
257,,0,8.0,Full-time,3333.333333,150.68,4000,0.29,0.147,-666.666667
258,,0,2.0,Self-employed,6666.666667,131.78,4000,,0.1475,2666.6666670000004
259,,0,2.0,Employed,2500.0,130.82,4000,0.84,0.1275,-1500.0
260,C,0,,Full-time,1916.6666670000002,283.53,7500,0.28,,-5583.333333
261,,0,6.0,Full-time,4000.0,88.06,2000,0.05,0.14,2000.0
262,E,0,,Full-time,4500.0,83.59,2000,0.11,,2500.0
263,,0,8.0,Employed,8583.333333,384.58,15000,0.17,0.0565,-6416.6666669999995
264,D,0,,Full-time,2500.0,161.16,4000,0.13,,-1500.0
265,HR,0,,Full-time,1833.3333329999998,135.71,3000,0.29,,-1166.6666670000002
266,,0,4.0,Employed,16666.666666999998,394.91,10000,,0.105,6666.666666999998
267,E,0,,Full-time,3750.0,135.71,3000,0.4,,750.0
268,,0,4.0,Self-employed,12500.0,173.71,4000,,0.165,8500.0
269,A,0,,Self-employed,7629.0,589.31,17000,0.1,,-9371.0
270,A,0,,Full-time,15541.666667,929.09,25000,0.37,,-9458.333333
271,,0,6.0,Employed,2500.0,150.68,4000,0.46,0.089,-1500.0
272,,0,2.0,Full-time,5000.0,180.94,4000,0.23,0.25,1000.0
273,E,0,,Not available,8333.333333,208.12,5600,0.08,,2733.3333330000005
274,,0,4.0,Employed,2500.0,392.33,15000,0.24,0.0549,-12500.0
275,A,0,,Full-time,15000.0,878.93,25000,0.13,,-10000.0
276,AA,0,,Full-time,3833.333333,311.06,9000,0.21,,-5166.6666669999995
277,E,0,,Full-time,4166.666667,34.75,1000,0.46,,3166.6666670000004
278,,0,3.0,Employed,8965.0,173.71,4000,0.3,0.165,4965.0
279,A,0,,Full-time,10833.333333,947.66,25000,0.24,,-14166.666667
280,B,0,,Not available,5541.666667,427.52,12500,0.23,,-6958.333333
281,D,0,,Part-time,1044.583333,58.06,1500,0.27,,-455.41666699999996
282,,0,7.0,Full-time,1733.3333329999998,198.34,4900,0.27,0.1,-3166.6666670000004
283,,0,6.0,Employed,2000.0,136.98,4000,0.13,0.147,-2000.0
284,,0,5.0,Retired,1539.0,80.32,2000,0.39,0.098,-461.0
285,,0,9.0,Full-time,12500.0,97.37,3000,0.05,0.021,9500.0
286,,0,8.0,Employed,4119.5,679.71,25000,0.37,0.0599,-20880.5
287,D,0,,Full-time,2161.083333,356.26,9800,0.42,,-7638.9166669999995
288,AA,0,,Full-time,5416.666667,189.99,6000,0.15,,-583.3333329999996
289,,0,7.0,Employed,2461.666667,439.3,15000,0.5,0.089,-12538.333333
290,C,0,,Full-time,5416.666667,372.15,10000,0.19,,-4583.333333
291,,0,8.0,Employed,2416.666667,91.71,4000,0.32,0.0399,-1583.333333
292,,0,7.0,Employed,6500.0,383.35,15000,0.18,0.042,-8500.0
293,,0,6.0,Employed,2333.333333,68.49,2000,0.28,0.147,333.33333300000004
294,,0,1.0,Full-time,2833.333333,86.67,2000,0.33,0.149,833.333333
295,,0,1.0,Full-time,3082.0,169.78,4000,0.25,0.149,-918.0
296,B,0,,Full-time,2500.0,205.65,6000,0.5,,-3500.0
297,B,0,,Full-time,4750.0,568.84,12575,0.28,,-7825.0
298,,0,6.0,Employed,9666.666667,161.14,4000,0.08,0.108,5666.6666669999995
299,,0,5.0,Employed,9666.666667,173.71,4000,0.11,0.1625,5666.6666669999995
300,AA,0,,Full-time,5916.666667,174.31,5000,0.06,,916.6666670000004
301,,0,6.0,Other,3333.333333,291.64,10000,0.36,0.089,-6666.6666669999995
302,,0,5.0,Self-employed,6666.666667,72.38,1600,,0.183,5066.666667
303,E,0,,Full-time,10155.0,55.75,1500,0.11,,8655.0
304,D,0,,Full-time,6000.0,140.89,3500,0.66,,2500.0
305,C,0,,Full-time,7333.333333,256.33,7500,0.29,,-166.66666700000042
306,,0,2.0,Self-employed,5000.0,130.82,4000,,0.1275,1000.0
307,B,0,,Full-time,6916.666667,925.91,25000,0.16,,-18083.333333
308,,0,6.0,Employed,2083.333333,582.52,15000,0.57,0.1025,-12916.666667
309,D,0,,Full-time,7500.0,419.06,10000,0.15,,-2500.0
310,,0,4.0,Employed,5850.0,320.77,7500,0.16,0.147,-1650.0
311,,0,9.0,Employed,5833.333333,117.42,3500,0.1,0.033,2333.3333329999996
312,,0,4.0,Employed,2340.0,123.67,2700,0.19,0.183,-360.0
313,E,0,,Full-time,4750.0,113.03,3000,0.2,,1750.0
314,C,0,,Full-time,5416.666667,227.35,7000,0.3,,-1583.3333329999996
315,,0,7.0,Employed,6583.333333,362.72,11500,0.07,0.1175,-4916.666667
316,B,0,,Full-time,3333.333333,367.07,10000,0.36,,-6666.6666669999995
317,AA,0,,Full-time,4083.333333,471.29,14500,0.34,,-10416.666667
318,,0,1.0,Full-time,5241.666667,136.98,4000,0.37,0.149,1241.6666670000004
319,,0,2.0,Self-employed,5000.0,126.85,4000,,0.1225,1000.0
320,D,0,,Full-time,1666.666667,115.4,2551,0.51,,-884.333333
321,,0,5.0,Employed,3166.666667,65.5,1500,0.11,0.142,1666.666667
322,D,0,,Full-time,5833.333333,145.7,3500,0.2,,2333.3333329999996
323,B,0,,Self-employed,3583.333333,242.66,7000,0.07,,-3416.666667
324,E,0,,Part-time,675.0,97.43,2500,0.16,,-1825.0
325,B,0,,Full-time,9583.333333,897.55,25000,0.57,,-15416.666667
326,,0,5.0,Employed,2083.333333,87.1,2000,0.04,0.147,83.33333300000004
327,,0,7.0,Employed,3416.666667,229.11,6000,0.15,0.098,-2583.333333
328,,0,9.0,Employed,3666.666667,78.68,2500,0.17,0.026,1166.666667
329,E,0,,Full-time,2526.333333,92.81,2500,0.12,,26.33333300000004
330,,0,7.0,Employed,6500.0,374.14,10000,0.14,0.089,-3500.0
331,,0,6.0,Employed,2416.666667,173.71,4000,0.1,0.1625,-1583.333333
332,,0,2.0,Full-time,2000.0,130.2,4000,0.55,0.1425,-2000.0
333,,0,2.0,Employed,4916.666667,339.27,7500,0.36,0.24,-2583.3333329999996
334,,0,7.0,Employed,2083.333333,247.48,7798,,0.108,-5714.6666669999995
335,,0,4.0,Full-time,4583.333333,274.59,7000,,0.1,-2416.6666670000004
336,C,0,,Full-time,11083.333333,138.66,4000,0.19,,7083.3333330000005
337,D,0,,,4108.333333,229.18,6001,0.19988,,-1892.6666670000004
338,B,0,,Part-time,1250.0,53.06,1500,0.72,,-250.0
339,,0,3.0,Full-time,5250.0,214.98,5000,0.17,0.13,250.0
340,,0,3.0,Other,4000.0,447.24,15000,0.24,0.1075,-11000.0
341,,0,6.0,Employed,2958.333333,489.71,13000,0.76,0.0849,-10041.666667
342,,0,1.0,Full-time,5491.666667,338.85,7500,0.3,0.366,-2008.3333329999996
343,,0,8.0,Full-time,9983.333333,61.64,1500,0.14,0.108,8483.333333
344,E,0,,Full-time,2500.0,259.15,6700,0.1,,-4200.0
345,,0,2.0,Self-employed,19416.666666999998,322.47,7500,,0.13,11916.666666999998
346,,0,4.0,Full-time,7083.333333,274.76,9000,0.23,0.1,-1916.6666670000004
347,C,0,,Self-employed,4614.083333,117.09,3500,0.17,,1114.0833329999996
348,,0,2.0,Employed,7500.0,135.25,3500,0.18,0.099,4000.0
349,B,0,,Not available,1733.3333329999998,108.46,3000,0.06,,-1266.6666670000002
350,,0,3.0,Full-time,6666.666667,169.78,4000,,0.149,2666.6666670000004
351,C,0,,Part-time,1416.666667,274.63,7000,0.4,,-5583.3333330000005
352,,0,9.0,Employed,4066.666667,360.88,15000,0.19,0.033,-10933.333333
353,,0,8.0,Employed,4291.666667,76.31,2400,0.04,0.02,1891.6666670000004
354,HR,0,,Not available,3666.666667,92.19,2200,0.2,,1466.666667
355,B,0,,Full-time,3750.0,114.4,3300,0.27,,450.0
356,C,0,,Full-time,2666.666667,380.93,9600,0.58,,-6933.3333330000005
357,,0,6.0,Employed,6250.0,520.35,20000,0.17,0.0649,-13750.0
