,CreditGrade,LoanStatus,ProsperScore,EmploymentStatus,StatedMonthlyIncome,MonthlyLoanPayment,LoanOriginalAmount,DebtToIncomeRatio,EstimatedLoss
381,,Completed,5.0,Employed,6666.666667,326.62,7500,0.34,0.147
383,B,Completed,,Full-time,4500.0,137.61,4800,0.21,
384,B,Chargedoff,,Full-time,3541.666667,169.65,5000,0.07,
385,,Completed,8.0,Employed,6666.666667,377.14,4000,0.17,0.146
386,C,Completed,,Not available,11083.333333,878.93,25000,0.15,
387,B,Completed,,,3000.0,110.73,3500,0.12624000000000002,
390,,Completed,5.0,Self-employed,12500.0,285.74,7000,,0.112
393,,Completed,9.0,Full-time,16666.666666999998,149.9,4700,0.12,0.021
395,AA,Completed,,Self-employed,5000.0,172.84,5000,,
396,,Completed,8.0,Employed,2916.666667,299.07,11000,0.31,0.0599
397,,Chargedoff,3.0,Full-time,4166.666667,128.65,4000,0.11,0.1375
400,B,Completed,,Full-time,8500.0,557.45,15000,0.1,
401,E,Completed,,Not available,5533.333333,125.76,3001,0.21,
403,E,Chargedoff,,Full-time,6500.0,122.48,3000,0.16,
405,AA,Completed,,Full-time,3219.833333,254.36,8000,0.36,
406,,Chargedoff,7.0,Full-time,8083.333333,350.66,8000,0.15,0.1
407,,Completed,3.0,Employed,7083.333333,136.98,4000,0.22,0.149
408,,Completed,8.0,Employed,8333.333333,618.28,6950,0.21,0.0565
410,D,Completed,,Full-time,1333.333333,282.03,7000,0.29,
411,,Completed,8.0,Full-time,8750.0,648.16,20000,0.2,0.015
412,A,Completed,,Full-time,8333.333333,462.43,16000,0.16,
414,,Completed,8.0,Full-time,6083.333333,327.86,10000,0.24,0.02
415,,Completed,5.0,Employed,4333.333333,336.52,7500,0.2,0.142
420,,Completed,8.0,Employed,10000.0,340.19,9000,0.15,0.0874
421,E,Completed,,Full-time,5865.0,38.19,1000,0.17,
422,,Completed,9.0,Employed,6666.666667,328.1,10000,0.23,0.035
423,AA,Chargedoff,,Full-time,10958.333333,869.33,25000,0.15,
424,,Chargedoff,5.0,Employed,2916.666667,596.32,15000,0.47,0.119
425,,Completed,9.0,Full-time,2750.0,111.68,2500,0.42,0.065
427,A,Completed,,Part-time,666.666667,68.73,2100,0.51,
428,,Chargedoff,5.0,Employed,11429.583333,326.62,7500,0.27,0.147
429,AA,Completed,,Self-employed,9166.666667,696.77,18000,,
432,AA,Completed,,Self-employed,4166.666667,30.55,1000,,
436,,Chargedoff,6.0,Full-time,3033.333333,307.8,7500,0.44,0.098
438,,Chargedoff,6.0,Employed,6250.0,171.08,4000,0.19,0.147
440,B,Completed,,Self-employed,9000.0,277.32,8000,0.04,
441,,Chargedoff,4.0,Employed,2666.666667,326.62,7500,0.34,0.147
443,A,Completed,,Full-time,2166.666667,120.12,3750,0.2,
448,E,Completed,,,2708.333333,146.38,4000,0.15,
449,,Completed,3.0,Employed,5416.666667,173.71,4000,0.18,0.1675
451,,Completed,5.0,Employed,2884.583333,246.41,7000,0.41,0.052
452,A,Chargedoff,,Full-time,7691.0,401.44,12000,0.28,
456,A,Completed,,Full-time,4416.666667,673.78,20000,0.3,
458,,Completed,4.0,Employed,5000.0,187.21,7000,0.12,0.0899
459,,Completed,8.0,Employed,3133.333333,487.99,13500,0.34,0.0595
460,,Completed,3.0,Employed,7500.0,283.0,10000,0.21,0.0899
464,D,Chargedoff,,Full-time,1333.333333,57.11,1500,0.04,
466,,Completed,6.0,Full-time,3083.333333,86.04,2500,0.32,0.042
468,C,Completed,,Full-time,8416.666667,155.9,4800,0.09,
469,C,Chargedoff,,Not available,5269.333333,419.06,10000,0.11,
470,,Chargedoff,7.0,Employed,1916.6666670000002,293.4,10000,0.33,0.0849
478,B,Chargedoff,,Full-time,7666.666667,720.54,20000,0.26,
480,C,Completed,,Part-time,1625.0,264.92,6000,0.95,
482,D,Chargedoff,,Full-time,2666.666667,37.68,1000,0.23,
486,,Completed,6.0,Employed,6500.0,538.21,14584,0.16,0.087
487,AA,Completed,,Full-time,8000.0,157.26,5000,0.02,
488,E,Chargedoff,,Full-time,2083.333333,95.62,2500,0.22,
489,,Chargedoff,7.0,Full-time,5416.666667,205.2,5000,0.07,0.1
492,,Completed,7.0,Employed,8500.0,354.96,4000,0.13,0.0524
493,,Chargedoff,4.0,Other,3750.0,173.71,4000,,0.165
497,,Completed,6.0,Retired,6200.0,205.47,5000,,0.108
498,D,Completed,,Not available,2154.666667,180.76,5000,0.1,
499,C,Completed,,Not available,6833.333333,178.14,5000,0.05,
500,C,Completed,,Retired,4250.0,33.94,2700,0.06,
501,,Chargedoff,5.0,Full-time,2500.0,37.68,1000,0.32,0.19
512,,Completed,7.0,Full-time,9166.666667,519.98,15000,0.06,0.015
516,B,Completed,,Full-time,4483.416667,133.81,4000,0.24,
519,A,Completed,,Not available,1916.6666670000002,162.51,5000,0.15,
521,C,Completed,,Full-time,30166.666667,177.52,5000,0.16,
522,,Completed,8.0,Full-time,5000.0,192.38,5000,0.14,0.08
523,,Completed,7.0,Employed,4125.0,123.28,3000,0.03,0.108
525,,Completed,7.0,Employed,6250.0,402.85,10000,0.2,0.112
526,AA,Completed,,Part-time,792.666667,165.95,5000,0.69,
527,,Completed,1.0,Employed,5916.666667,65.91,1500,0.31,0.366
528,,Completed,,Full-time,2166.666667,346.65,10000,0.26,
531,,Completed,4.0,Full-time,5666.666667,178.44,2000,0.23,0.0599
533,B,Completed,,Full-time,10500.0,168.64,5000,0.27,
536,C,Completed,,Full-time,3166.666667,128.3,3500,0.12,
537,,Completed,7.0,Employed,3500.0,273.9,6290,0.1,0.147
538,E,Chargedoff,,Full-time,4583.333333,96.1,2500,0.56,
541,B,Completed,,Full-time,5000.0,256.95,7200,0.15,
543,,Chargedoff,5.0,Full-time,4166.666667,135.71,3000,0.13,0.18
545,,Completed,5.0,Full-time,2833.333333,839.0,21500,0.3,0.085
546,AA,Completed,,Not available,3766.666667,93.66,3000,0.04,
549,B,Completed,,Full-time,3250.0,96.8,3000,0.06,
551,,Completed,4.0,Employed,2083.333333,160.61,4000,0.32,0.105
553,,Completed,6.0,Employed,4416.666667,398.18,10000,0.25,0.112
555,D,Chargedoff,,Full-time,4419.75,126.66,2800,0.03,
561,,Completed,2.0,Employed,6000.0,122.19,3200,,0.0925
565,,Completed,4.0,Self-employed,6250.0,278.18,10000,,0.1075
567,,Completed,5.0,Full-time,3416.666667,84.61,2100,0.29,0.18
571,,Completed,5.0,Employed,4500.0,326.62,7500,0.35,0.147
574,C,Completed,,,833.333333,34.79,1000,0.17,
575,,Completed,6.0,Employed,3083.333333,67.45,2100,,0.1275
576,AA,Completed,,Retired,0.083333,47.94,1500,10.01,
582,D,Completed,,Full-time,2916.666667,59.96,2551,0.28,
584,,Completed,7.0,Employed,6000.0,359.79,4000,0.08,0.088
585,AA,Completed,,,5000.0,31.45,1000,0.07429,
588,,Completed,8.0,Employed,4916.666667,821.91,25000,0.33,0.026
591,,Completed,8.0,Employed,7083.333333,312.76,13000,0.21,0.033
594,AA,Completed,,Self-employed,7000.0,318.18,10000,0.07,
596,,Completed,5.0,Employed,4541.666667,596.32,15000,0.58,0.119
598,,Completed,5.0,Employed,6180.0,304.84,7000,0.31,0.147
600,,Completed,7.0,Employed,7916.666667,147.62,3500,0.02,0.108
605,HR,Chargedoff,,Full-time,5416.666667,232.3,6001,0.15,
607,,Chargedoff,5.0,Employed,5500.0,135.17,4000,0.43,0.1475
608,,Completed,10.0,Full-time,8833.333333,77.31,2500,,0.006
613,,Completed,8.0,Employed,13333.333333,658.98,20500,0.26,0.02
615,D,Chargedoff,,Full-time,2000.0,108.44,3000,0.15,
617,,Completed,9.0,Employed,3333.333333,121.16,3500,0.08,0.0595
619,D,Completed,,Full-time,5250.0,134.59,3000,0.36,
623,,Chargedoff,6.0,Part-time,2500.0,204.8,5000,0.2,0.1
625,A,Completed,,Not available,6764.833333,224.74,6800,0.36,
627,,Completed,6.0,Employed,1666.666667,104.89,2500,1.89,0.1425
628,B,Completed,,Full-time,3583.333333,80.62,2500,0.12,
631,E,Completed,,Full-time,2916.666667,21.43,1500,0.28,
632,B,Completed,,Full-time,3666.666667,331.09,10000,0.29,
634,,Completed,1.0,Self-employed,3500.0,172.56,4000,,0.17
635,B,Chargedoff,,Full-time,11666.666667,733.12,20000,0.13,
644,D,Completed,,Part-time,1333.333333,34.91,1000,0.12,
645,,Completed,8.0,Employed,11250.0,539.88,15000,0.14,0.0565
650,A,Completed,,Full-time,5100.0,107.57,3400,0.05,
651,B,Completed,,Full-time,8166.666667,531.34,15000,0.25,
652,B,Chargedoff,,Full-time,5833.333333,683.55,20000,0.49,
655,B,Completed,,Full-time,2426.083333,630.37,18500,0.37,
656,,Completed,9.0,Retired,5000.0,92.78,2500,0.24,0.065
658,,Completed,10.0,Employed,10000.0,206.08,10000,0.1,0.0199
666,C,Completed,,Full-time,3833.333333,223.29,6000,0.19,
667,B,Chargedoff,,Full-time,31666.666667,859.91,25000,0.12,
670,C,Chargedoff,,Full-time,3500.0,305.65,7200,0.26,
675,,Completed,6.0,Employed,2083.333333,227.64,7000,0.13,0.112
677,,Completed,4.0,Employed,12083.333333,670.58,25000,0.15,0.0724
679,D,Completed,,Full-time,2416.666667,257.43,7500,0.14,
683,,Completed,7.0,Full-time,7666.666667,618.94,16000,0.1,0.07
688,,Completed,7.0,Not employed,0.0,102.05,2500,,0.112
694,A,Completed,,Full-time,1622.5,10.34,1000,0.09,
698,AA,Completed,,,8333.333333,185.29,6001,0.02727,
702,AA,Completed,,Full-time,10833.333333,293.03,9500,0.07,
703,,Completed,10.0,Part-time,1666.666667,30.94,1000,0.29,0.006
706,HR,Completed,,Not available,6166.666667,293.34,7000,0.27,
707,,Chargedoff,3.0,Employed,6500.0,566.98,15000,0.34,0.0874
710,,Completed,8.0,Employed,9083.333333,0.0,15000,0.28,0.0495
713,HR,Chargedoff,,Full-time,1866.75,95.91,2550,0.3,
716,B,Completed,,Full-time,6583.333333,122.19,3500,0.45,
717,,Completed,5.0,Full-time,6250.0,176.81,4000,0.22,0.18
718,,Chargedoff,6.0,Employed,2715.666667,347.09,10000,0.5,0.0499
719,C,Completed,,Full-time,3750.0,202.78,6001,0.16,
720,,Completed,10.0,Employed,10000.0,438.64,14000,0.16,0.01
724,,Completed,9.0,Full-time,6250.0,175.86,4500,0.27,0.065
725,,Completed,,Full-time,1400.0,73.58,2348,,
726,,Completed,8.0,Employed,3500.0,190.77,6000,0.21,0.02
727,,Completed,2.0,Employed,2625.0,178.67,2000,0.4,0.061
728,,Completed,6.0,Self-employed,7083.333333,45.24,1000,,0.14
730,HR,Completed,,Not available,2333.333333,116.13,3000,0.1,
735,B,Completed,,Full-time,3250.0,337.77,10000,0.35,
739,C,Completed,,Full-time,2333.333333,45.97,2000,0.03,
743,C,Completed,,Full-time,4416.666667,240.34,7400,0.21,
745,,Completed,9.0,Full-time,4166.666667,148.45,4000,0.39,0.065
747,D,Chargedoff,,Full-time,2289.583333,156.93,4000,0.41,
751,,Completed,9.0,Full-time,6516.666667,191.92,6000,0.29,0.015
752,,Completed,7.0,Self-employed,12500.0,117.91,3500,,0.0399
753,,Completed,3.0,Employed,2250.0,171.41,4000,0.37,0.149
754,,Completed,9.0,Employed,2583.333333,321.45,10000,0.17,0.0249
755,B,Completed,,Full-time,4291.666667,116.25,3500,0.03,
757,,Completed,8.0,Employed,12500.0,241.42,10170,0.06,0.038
758,C,Completed,,Not available,7083.333333,354.04,10000,0.37,
760,,Completed,5.0,Full-time,6250.0,55.75,1500,0.04,0.18
762,B,Completed,,Part-time,1250.0,115.92,3500,0.3,
768,,Completed,5.0,Full-time,4916.666667,67.85,1500,0.09,0.18
772,AA,Completed,,Full-time,0.0,112.61,3500,,
777,,Chargedoff,9.0,Employed,3791.666667,216.23,10000,0.13,0.0174
780,,Completed,9.0,Employed,3500.0,105.45,2500,0.14,0.108
781,C,Completed,,Full-time,2211.166667,33.86,1800,0.24,
782,D,Completed,,Full-time,2250.0,151.04,4500,0.35,
784,,Chargedoff,8.0,Employed,4250.0,167.36,5000,0.21,0.038
785,D,Chargedoff,,Full-time,3333.333333,135.71,3000,0.05,
789,,Chargedoff,2.0,Self-employed,5750.0,137.21,3151,,0.203
790,E,Completed,,Full-time,3166.666667,0.0,1000,0.2,
792,,Chargedoff,3.0,Employed,5416.666667,582.52,15000,,0.1025
794,NC,Completed,,Not available,115.58333300000001,167.62,4000,,
795,B,Completed,,Full-time,3433.333333,337.9,10000,0.36,
796,B,Completed,,Full-time,6711.0,61.21,2500,0.17,
797,E,Completed,,Not available,1583.333333,39.76,1000,0.6,
800,HR,Chargedoff,,Full-time,5750.0,188.38,5000,0.13,
803,,Completed,5.0,Employed,8250.0,299.82,9500,0.39,0.119
804,,Completed,6.0,Employed,3833.333333,81.64,2000,,0.112
807,A,Completed,,Full-time,2500.0,166.07,5000,0.33,
809,,Completed,9.0,Full-time,2583.333333,95.68,3000,0.07,0.021
810,,Completed,8.0,Employed,3500.0,188.78,7000,0.35,0.0565
813,A,Completed,,Not available,5500.0,637.9,19000,0.31,
818,,Completed,6.0,Other,2000.0,79.01,2000,,0.119
819,D,Chargedoff,,Full-time,3333.333333,120.86,3000,0.6,
820,C,Completed,,Not available,6666.666667,167.27,5000,0.11,
821,A,Completed,,Full-time,6250.0,142.37,4500,0.24,
824,B,Chargedoff,,Full-time,7916.666667,903.81,25000,0.24,
826,B,Completed,,Full-time,3750.0,341.78,10000,0.49,
827,B,Completed,,Part-time,1437.0,166.3,4600,0.36,
830,AA,Completed,,Full-time,15000.0,154.23,4900,0.11,
836,E,Chargedoff,,,5416.666667,75.29,1900,0.14,
839,,Completed,10.0,Full-time,5416.666667,37.11,1000,0.18,0.065
845,,Completed,9.0,Self-employed,5000.0,220.88,10000,,0.0324
846,,Completed,8.0,Employed,3166.666667,596.4,15000,0.23,0.0595
847,,Completed,9.0,Employed,25000.0,328.1,10000,0.08,0.035
849,,Completed,10.0,Part-time,800.0,30.92,1000,0.24,0.006
852,B,Completed,,Not available,8858.166667,866.63,25000,0.18,
853,HR,Completed,,,2500.0,75.43,1800,0.09,
855,,Completed,6.0,Employed,4750.0,489.84,12000,0.27,0.112
858,,Completed,6.0,Full-time,6000.0,366.05,10000,0.21,0.07
861,,Completed,8.0,Employed,8375.0,189.1,6000,0.15,0.0174
862,C,Completed,,Full-time,1590.0,270.02,7500,0.32,
865,AA,Completed,,Full-time,11666.666667,83.43,2690,0.02,
868,B,Completed,,Full-time,1500.0,33.13,1000,0.48,
873,HR,Completed,,Full-time,2333.333333,102.89,3000,0.18,
876,,Completed,8.0,Employed,8333.333333,419.37,12500,0.05,0.033
878,,Completed,1.0,Employed,6000.0,123.61,3000,,0.1325
880,D,Completed,,Full-time,5416.666667,0.0,1000,0.14,
881,,Chargedoff,5.0,Employed,12000.0,259.63,6000,,0.147
885,,Completed,8.0,Employed,1690.4166670000002,70.52,2000,0.18,0.0595
888,AA,Chargedoff,,Not available,3333.333333,823.18,24000,0.56,
893,,Chargedoff,4.0,Full-time,4130.416667,86.3,2200,0.37,0.1
895,,Chargedoff,4.0,Self-employed,14.583332999999998,173.71,4000,,0.165
897,D,Completed,,Full-time,3500.0,256.26,7500,0.22,
898,,Completed,2.0,Employed,9166.666667,314.25,7500,0.29,0.13
902,C,Chargedoff,,Full-time,4166.666667,226.18,5000,0.24,
904,,Completed,10.0,Employed,7750.0,249.53,7900,0.06,0.015
905,C,Completed,,,3333.333333,173.82,5000,0.08,
913,,Completed,10.0,Employed,10833.333333,428.01,5000,0.04,0.0155
916,AA,Completed,,Full-time,9166.666667,45.56,1500,0.16,
917,A,Completed,,Not available,0.0,274.24,8000,,
918,D,Completed,,Not available,1333.333333,70.25,2000,0.36,
922,B,Completed,,Full-time,4233.333333,64.3,2000,0.06,
923,,Completed,8.0,Employed,4083.333333,240.77,7500,0.13,0.0595
927,A,Completed,,Retired,2416.666667,95.89,3000,0.43,
931,HR,Completed,,Not available,2166.666667,126.9,3050,0.06,
934,B,Chargedoff,,Full-time,6599.666667,692.33,20000,0.19,
935,AA,Completed,,Full-time,9000.0,29.97,1000,0.0,
939,,Completed,7.0,Employed,3833.333333,120.86,3000,0.2,0.108
941,B,Completed,,Full-time,4600.0,202.16,6000,0.16,
942,,Completed,7.0,Employed,8583.333333,423.4,4500,0.05,0.112
946,B,Chargedoff,,Full-time,5000.0,166.57,5000,0.24,
948,C,Completed,,Not available,0.0,33.69,1000,,
950,,Completed,9.0,Full-time,4000.0,324.32,10000,0.26,0.021
951,,Completed,2.0,Self-employed,4000.0,173.71,4000,,0.165
952,,Completed,6.0,Employed,10333.333333,579.63,15000,0.17,0.099
954,C,Completed,,Full-time,0.0,306.19,7500,,
955,A,Completed,,Full-time,5000.0,31.8,1000,0.37,
957,AA,Completed,,Not available,4333.333333,30.83,1000,0.09,
959,,Completed,5.0,Employed,8333.333333,173.71,4000,0.19,0.165
960,,Completed,5.0,Employed,5416.666667,173.71,4000,0.18,0.165
972,,Completed,4.0,Employed,3687.5,173.71,4000,0.22,0.165
973,,Completed,6.0,Not employed,0.0,187.71,2000,,0.1375
974,,Completed,3.0,Employed,3583.333333,86.38,2000,0.65,0.1575
977,,Completed,6.0,Full-time,6666.666667,800.24,25000,0.34,0.015
